Tram ID,Station,Direction,Tram Type,Timestamp,Wait Time (s),Time Slot
TRAM17,Marijin Dvor,Ilidža-Baščaršija,Old,14.5.2025. 11:18:47,382,Off-peak
TRAM18,Marijin Dvor,Ilidža-Baščaršija,Old,14.5.2025. 11:25:06,379,Off-peak
TRAM19,Marijin Dvor,Ilidža-Baščaršija,Old,14.5.2025. 11:31:45,399,Off-peak
TRAM20,Marijin Dvor,Ilidža-Baščaršija,Old,14.5.2025. 11:35:28,223,Off-peak
REF,Marijin Dvor,Ilidža-Baščaršija,,15.5.2025. 09:33:26,N/A,Off-peak
REF,Alipašino Polje,Basčaršija-Ilidža,,15.5.2025. 09:40:09,N/A,Off-peak
TRAM21,Alipašino Polje,Ilidža-Baščaršija,New,15.5.2025. 09:40:07,401,Off-peak
TRAM22,Alipašino Polje,Ilidža-Baščaršija,New,15.5.2025. 09:41:37,90,Off-peak
TRAM23,Alipašino Polje,Basčaršija-Ilidža,Old,15.5.2025. 09:44:09,240,Off-peak
TRAM24,Alipašino Polje,Ilidža-Baščaršija,New,15.5.2025. 09:45:30,233,Off-peak
TRAM25,Alipašino Polje,Basčaršija-Ilidža,Old,15.5.2025. 09:45:38,89,Off-peak
TRAM26,Alipašino Polje,Ilidža-Baščaršija,New,15.5.2025. 09:48:11,161,Off-peak
TRAM27,Alipašino Polje,Basčaršija-Ilidža,New,15.5.2025. 09:49:29,231,Off-peak
TRAM28,Alipašino Polje,Ilidža-Baščaršija,Old,15.5.2025. 09:54:49,398,Off-peak
TRAM29,Alipašino Polje,Ilidža-Baščaršija,Old,15.5.2025. 09:56:08,79,Off-peak
TRAM30,Alipašino Polje,Ilidža-Baščaršija,New,15.5.2025. 10:01:36,328,Off-peak
TRAM31,Alipašino Polje,Ilidža-Baščaršija,Old,15.5.2025. 10:02:44,68,Off-peak
TRAM32,Alipašino Polje,Basčaršija-Ilidža,New,15.5.2025. 10:02:51,802,Off-peak
TRAM33,Alipašino Polje,Basčaršija-Ilidža,Old,15.5.2025. 10:04:13,82,Off-peak
TRAM34,Alipašino Polje,Ilidža-Baščaršija,New,15.5.2025. 10:11:10,506,Off-peak
TRAM35,Alipašino Polje,Ilidža-Baščaršija,Old,15.5.2025. 10:16:12,302,Off-peak
TRAM36,Alipašino Polje,Basčaršija-Ilidža,Old,15.5.2025. 10:17:27,794,Off-peak
TRAM37,Alipašino Polje,Basčaršija-Ilidža,Old,15.5.2025. 10:18:53,86,Off-peak
TRAM38,Alipašino Polje,Basčaršija-Ilidža,New,15.5.2025. 10:20:17,84,Off-peak
TRAM39,Alipašino Polje,Basčaršija-Ilidža,Old,15.5.2025. 10:22:52,155,Off-peak
TRAM40,Alipašino Polje,Basčaršija-Ilidža,Old,15.5.2025. 10:26:50,238,Off-peak
REF,Marijin Dvor,Ilidža-Baščaršija,,15.5.2025. 15:51:14,N/A,Off-peak
REF,Marijin Dvor,Basčaršija-Ilidža,,15.5.2025. 15:52:38,N/A,Off-peak
TRAM41,Marijin Dvor,Basčaršija-Ilidža,Old,15.5.2025. 15:53:37,59,Off-peak
TRAM42,Marijin Dvor,Basčaršija-Ilidža,New,15.5.2025. 15:57:57,260,Off-peak
TRAM43,Marijin Dvor,Basčaršija-Ilidža,Old,15.5.2025. 16:04:25,388,Rush hour
